"pli-tv-bu-pm:9.0","Expulsion 1. Sexual Intercourse "
"pli-tv-bu-pm:57.0","Relinquishment With Confession 24: Rainy-Season Robes "
"pli-tv-bu-pm:57.1","pli-tv-bu-vb-np24:1.18.1"
"pli-tv-bu-pm:57.2","pli-tv-bu-vb-np24:1.19"
"pli-tv-bu-pm:58.0","Relinquishment With Confession 25: Taking Back Robe-Cloth "
"pli-tv-bu-pm:58.1","pli-tv-bu-vb-np25:1.27.1"
"pli-tv-bu-pm:59.0","Relinquishment With Confession 26: Asking for Thread "
"pli-tv-bu-pm:59.1","pli-tv-bu-vb-np26:1.23.1"
"pli-tv-bu-pm:60.0","Relinquishment With Confession 27: Bribing Weavers "
"pli-tv-bu-pm:60.1","pli-tv-bu-vb-np27:1.45.1"
"pli-tv-bu-pm:60.2","pli-tv-bu-vb-np27:1.46"
"pli-tv-bu-pm:60.3","pli-tv-bu-vb-np27:1.47"
"pli-tv-bu-pm:60.4","pli-tv-bu-vb-np27:1.48"
"pli-tv-bu-pm:61.0","Relinquishment With Confession 28: Haste-Cloth "
"pli-tv-bu-pm:61.1","pli-tv-bu-vb-np28:1.2.19.1"
"pli-tv-bu-pm:61.2","pli-tv-bu-vb-np28:1.2.20"
"pli-tv-bu-pm:62.0","Relinquishment With Confession 29: Keeping Robes while Staying in Risky Regions "
"pli-tv-bu-pm:62.1","pli-tv-bu-vb-np29:1.2.16.1"
"pli-tv-bu-pm:62.2","pli-tv-bu-vb-np29:1.2.17"
"pli-tv-bu-pm:63.0","Relinquishment With Confession 30: Offerings Intended for the Saṅgha "
"pli-tv-bu-pm:63.1","pli-tv-bu-vb-np30:1.27.1"
"pli-tv-bu-pm:63.2","pli-tv-bu-vb-np30:2.37"
"pli-tv-bu-pm:64.1","pli-tv-bu-vb-np30:2.43"
"pli-tv-bu-pm:64.2","pli-tv-bu-vb-np30:2.44,pli-tv-bu-vb-np30:2.45"
"pli-tv-bu-pm:64.3","pli-tv-bu-vb-np30:2.46,pli-tv-bu-vb-np30:2.47"
"pli-tv-bu-pm:64.4","pli-tv-bu-vb-np30:2.48,pli-tv-bu-vb-np30:2.49"
"pli-tv-bu-pm:64.5","pli-tv-bu-vb-np30:2.50,pli-tv-bu-vb-np30:2.51"
"pli-tv-bu-pm:64.6","pli-tv-bu-vb-np30:2.52"
"pli-tv-bu-pm:65.0","Recitation of the Rules of Confession "
"pli-tv-bu-pm:65.1","pli-tv-bu-vb-pc1:0.7"
"pli-tv-bu-pm:66.0.2","Confession 1: Lying "
"pli-tv-bu-pm:66.1","pli-tv-bu-vb-pc1:1.20.1"
"pli-tv-bu-pm:67.0","Confession 2: Abusive Speech "
"pli-tv-bu-pm:67.1","pli-tv-bu-vb-pc2:1.2.33.1"
"pli-tv-bu-pm:68.0","Confession 3: Malicious Talebearing "
"pli-tv-bu-pm:68.1","pli-tv-bu-vb-pc3:1.20.1"
"pli-tv-bu-pm:69.0","Confession 4: Memorizing the Teaching "
"pli-tv-bu-pm:69.1","pli-tv-bu-vb-pc4:1.16.1"
"pli-tv-bu-pm:70.0","Confession 5: Lying Down With One Not Fully Ordained "
"pli-tv-bu-pm:70.1","pli-tv-bu-vb-pc5:2.16.1"
"pli-tv-bu-pm:71.0","Confession 6: Lying Down With a Woman "
"pli-tv-bu-pm:71.1","pli-tv-bu-vb-pc6:1.51.1"
"pli-tv-bu-pm:72.0","Confession 7: Teaching Someone of the Opposite Gender Alone "
"pli-tv-bu-pm:72.1","pli-tv-bu-vb-pc7:3.11.1"
"pli-tv-bu-pm:73.0","Confession 8: Truthfully Announcing Superhuman Attainments "
"pli-tv-bu-pm:73.1","pli-tv-bu-vb-pc8:1.2.26.1"
"pli-tv-bu-pm:74.0","Confession 9: Announcing a Grave Offense "
"pli-tv-bu-pm:74.1","pli-tv-bu-vb-pc9:1.20.1"
"pli-tv-bu-pm:75.0","Confession 10: Digging the Earth "
"pli-tv-bu-pm:75.1","pli-tv-bu-vb-pc10:1.16.1"
"pli-tv-bu-pm:75.2","pli-tv-bu-vb-pc10:2.3.9"
"pli-tv-bu-pm:76.0.2","Confession 11:Damaging Plants "
"pli-tv-bu-pm:76.1","pli-tv-bu-vb-pc11:1.29.1"
"pli-tv-bu-pm:77.0","Confession 12: Evasive Speech "
"pli-tv-bu-pm:77.1","pli-tv-bu-vb-pc12:2.28.1"
"pli-tv-bu-pm:78.0","Confession 13: Complaining "
"pli-tv-bu-pm:78.1","pli-tv-bu-vb-pc13:2.12.1"
"pli-tv-bu-pm:79.0","Confession 14: Leaving Furniture Outside "
"pli-tv-bu-pm:79.1","pli-tv-bu-vb-pc14:1.1.9.1"
"pli-tv-bu-pm:80.0","Confession 15: Leaving Bedding Outside "
"pli-tv-bu-pm:80.1","pli-tv-bu-vb-pc15:1.15.1"
"pli-tv-bu-pm:81.0","Confession 16: Encroaching on a Monastic "
"pli-tv-bu-pm:81.1","pli-tv-bu-vb-pc16:1.16.1"
"pli-tv-bu-pm:82.0","Confession 17: Throwing Out a Monastic "
"pli-tv-bu-pm:82.1","pli-tv-bu-vb-pc17:1.31.1"
"pli-tv-bu-pm:83.0","Confession 18: The Upper Story of a Hut "
"pli-tv-bu-pm:83.1","pli-tv-bu-vb-pc18:1.18.1"
"pli-tv-bu-pm:84.0","Confession 19: Applying Materials to a Large Dwelling "
"pli-tv-bu-pm:84.1","pli-tv-bu-vb-pc19:1.18.1"
"pli-tv-bu-pm:85.0","Confession 20: Using Water With Living Creatures "
"pli-tv-bu-pm:85.1","pli-tv-bu-vb-pc20:1.12.1"
"pli-tv-bu-pm:85.2","pli-tv-bu-vb-pc20:2.3.8"
"pli-tv-bu-pm:86.0.2","Confession 21: Instruction "
"pli-tv-bu-pm:86.1","pli-tv-bu-vb-pc21:1.44.1"
"pli-tv-bu-pm:87.0","Confession 22: Instructing Nuns After Sunset "
"pli-tv-bu-pm:87.1","pli-tv-bu-vb-pc22:1.33.1"
"pli-tv-bu-pm:88.0","Confession 23: Instructing Nuns in a Nunnery "
"pli-tv-bu-pm:88.1","pli-tv-bu-vb-pc23:2.19.1"
"pli-tv-bu-pm:88.2","pli-tv-bu-vb-pc23:2.20"
"pli-tv-bu-pm:89.0","Confession 24: Teaching Nuns for Profit "
"pli-tv-bu-pm:89.1","pli-tv-bu-vb-pc24:1.16.1"
"pli-tv-bu-pm:90.0","Confession 25: Giving Robes "
"pli-tv-bu-pm:90.1","pli-tv-bu-vb-pc25:2.11.1"
"pli-tv-bu-pm:91.0","Confession 26: Sewing Robes "
"pli-tv-bu-pm:91.1","pli-tv-bu-vb-pc26:1.27.1"
"pli-tv-bu-pm:92.0","Confession 27: Travelling by Arrangement "
"pli-tv-bu-pm:92.1","pli-tv-bu-vb-pc27:2.15.1"
"pli-tv-bu-pm:92.2","pli-tv-bu-vb-pc27:2.16"
"pli-tv-bu-pm:93.0","Confession 28: Travelling on a Boat With a Nun "
"pli-tv-bu-pm:93.1","pli-tv-bu-vb-pc28:2.16.1"
"pli-tv-bu-pm:94.0","Confession 29: Eating Food Prepared on a Nun’s Instruction "
"pli-tv-bu-pm:94.1","pli-tv-bu-vb-pc29:2.13.1"
"pli-tv-bu-pm:95.0","Confession 30: Sitting in Private "
"pli-tv-bu-pm:95.1","pli-tv-bu-vb-pc30:1.13.1"
"pli-tv-bu-pm:95.2","pli-tv-bu-vb-pc30:2.3.9"
"pli-tv-bu-pm:96.0.2","Confession 31: Eating at a Public Guest-House "
"pli-tv-bu-pm:96.1,pli-tv-bu-pm:96.2","pli-tv-bu-vb-pc31:2.14.1"
"pli-tv-bu-pm:97.0","Confession 32: Eating in a Group "
"pli-tv-bu-pm:97.1","pli-tv-bu-vb-pc32:8.15.1"
"pli-tv-bu-pm:97.2","pli-tv-bu-vb-pc32:8.16"
"pli-tv-bu-pm:98.0","Confession 33: Eating Successive Meals "
"pli-tv-bu-pm:98.1","pli-tv-bu-vb-pc33:3.15.1"
"pli-tv-bu-pm:98.2","pli-tv-bu-vb-pc33:3.16"
"pli-tv-bu-pm:99.0","Confession 34: Accepting Two or Three Bowls Full "
"pli-tv-bu-pm:99.1","pli-tv-bu-vb-pc34:1.2.21.1"
"pli-tv-bu-pm:99.2","pli-tv-bu-vb-pc34:1.2.22"
"pli-tv-bu-pm:100.0","Confession 35: Eating More After Refusing an Invitation "
"pli-tv-bu-pm:100.1","pli-tv-bu-vb-pc35:2.15.1"
"pli-tv-bu-pm:101.0","Confession 36: Encouraging Another Monastic to Eat More After Refusing an Invitation "
"pli-tv-bu-pm:101.1","pli-tv-bu-vb-pc36:1.28.1"
"pli-tv-bu-pm:102.0","Confession  37: Eating at the Wrong Time "
"pli-tv-bu-pm:102.1","pli-tv-bu-vb-pc37:1.22.1"
"pli-tv-bu-pm:103.0","Confession 38: Storing Food "
"pli-tv-bu-pm:103.1","pli-tv-bu-vb-pc38:1.18.1"
"pli-tv-bu-pm:104.0","Confession 39 Asking for Fine Foods "
"pli-tv-bu-pm:104.1","pli-tv-bu-vb-pc39:2.10.1"
"pli-tv-bu-pm:105.0","Confession 40: Eating Unoffered Food "
"pli-tv-bu-pm:105.1","pli-tv-bu-vb-pc40:2.5.1"
"pli-tv-bu-pm:105.2","pli-tv-bu-vb-pc40:3.3.7"
"pli-tv-bu-pm:106.0.2","Confession 41: Giving Food to Ascetics "
"pli-tv-bu-pm:106.1","pli-tv-bu-vb-pc41:1.2.15.1"
"pli-tv-bu-pm:107.0","Confession 42: Sending a Monastic Back from Almsround "
"pli-tv-bu-pm:107.1","pli-tv-bu-vb-pc42:1.16.1"
"pli-tv-bu-pm:108.0","Confession 43: Intruding on a Couple Enjoying Themselves "
"pli-tv-bu-pm:108.1","pli-tv-bu-vb-pc43:1.23.1"
"pli-tv-bu-pm:109.0","Confession 44: Sitting in a Concealed Place "
"pli-tv-bu-pm:109.1","pli-tv-bu-vb-pc44:1.14.1"
"pli-tv-bu-pm:110.0","Confession 45: Sitting in Private "
"pli-tv-bu-pm:110.1","pli-tv-bu-vb-pc45:1.14.1"
"pli-tv-bu-pm:111.0","Confession 46: Visiting Families Before a Meal "
"pli-tv-bu-pm:111.1","pli-tv-bu-vb-pc46:5.6.1"
"pli-tv-bu-pm:111.2","pli-tv-bu-vb-pc46:5.7"
"pli-tv-bu-pm:112.0","Confession 47: An Invitation for Four Months "
"pli-tv-bu-pm:112.1","pli-tv-bu-vb-pc47:1.4.27.1"
"pli-tv-bu-pm:113.0","Confession 48: Seeing a Mobilizing Army "
