"pli-tv-bi-pm:9.0","Expulsion 1. Sexual Intercourse "
"pli-tv-bi-pm:41.1","pli-tv-bi-vb-np4:1.27.1"
"pli-tv-bi-pm:42.0","Relinquishment With Confession 5: Exchanging for Something Else "
"pli-tv-bi-pm:42.1","pli-tv-bi-vb-np5:1.28.1"
"pli-tv-bi-pm:43.0","Relinquishment With Confession 6: Exchanging Saṅgha Property "
"pli-tv-bi-pm:43.1","pli-tv-bi-vb-np6:1.16.1"
"pli-tv-bi-pm:44.0","Relinquishment With Confession 7: Exchanging Saṅgha Property (2nd) "
"pli-tv-bi-pm:44.1","pli-tv-bi-vb-np7:1.13.1"
"pli-tv-bi-pm:45.0","Relinquishment With Confession 8: Exchanging Group Property "
"pli-tv-bi-pm:45.1","pli-tv-bi-vb-np8:1.14.1"
"pli-tv-bi-pm:46.0","Relinquishment With Confession 9: Exchanging Group Property (2nd) "
"pli-tv-bi-pm:46.1","pli-tv-bi-vb-np9:1.15.1"
"pli-tv-bi-pm:47.0","Relinquishment With Confession 10: Exchanging Personal Property "
"pli-tv-bi-pm:47.1","pli-tv-bi-vb-np10:1.18.1"
"pli-tv-bi-pm:47.2","The sub-chapter on bowls is finished "
"pli-tv-bi-pm:48.0.2","Relinquishment With Confession 11: Heavy Cloaks "
"pli-tv-bi-pm:48.1","pli-tv-bi-vb-np11:1.21.1"
"pli-tv-bi-pm:49.0","Relinquishment With Confession 12: Light Cloaks "
"pli-tv-bi-pm:49.1","pli-tv-bi-vb-np12:1.21.1"
"pli-tv-bi-pm:50.0","Relinquishment With Confession 13: The Robe-Making Season "
"pli-tv-bi-pm:50.1,pli-tv-bi-pm:50.2","pli-tv-bu-vb-np1:2.17.1"
"pli-tv-bi-pm:51.0","Relinquishment With Confession 14: Staying Apart From Robes "
"pli-tv-bi-pm:51.1","pli-tv-bu-vb-np2:2.39.1"
"pli-tv-bi-pm:52.0","Relinquishment With Confession 15: Out-of-Season Robe Cloth "
"pli-tv-bi-pm:52.1","pli-tv-bu-vb-np3:1.3.13.1"
"pli-tv-bi-pm:52.2","pli-tv-bu-vb-np3:1.3.14"
"pli-tv-bi-pm:52.3","pli-tv-bu-vb-np3:1.3.15"
"pli-tv-bi-pm:52.4","pli-tv-bu-vb-np3:1.3.16"
"pli-tv-bi-pm:53.0","Relinquishment With Confession 16: Asking an Unrelated Person for Robes "
"pli-tv-bi-pm:53.1","pli-tv-bu-vb-np6:2.18.1"
"pli-tv-bi-pm:53.2","pli-tv-bu-vb-np6:2.19"
"pli-tv-bi-pm:54.0","Relinquishment With Confession 17: Accepting Too Many Robes "
"pli-tv-bi-pm:54.1,pli-tv-bi-pm:54.2 ","pli-tv-bu-vb-np7:1.31.1"
"pli-tv-bi-pm:55.0","Relinquishment With Confession 18: Requesting Fine Robes From a Robe Fund "
"pli-tv-bi-pm:55.1","pli-tv-bu-vb-np8:1.1.32.1"
"pli-tv-bi-pm:55.2","pli-tv-bu-vb-np8:1.1.33"
"pli-tv-bi-pm:55.3","pli-tv-bu-vb-np8:1.1.34"
"pli-tv-bi-pm:55.4","pli-tv-bu-vb-np8:1.1.35"
